,movie_title,soup
0,Avatar,color jamescameron joeldavidmoore action adventure fantasy sci-fi cchpounder wesstudi avatar future marine native paraplegic english usa pg-13
1,Pirates of the Caribbean: At World's End,color goreverbinski orlandobloom action adventure fantasy johnnydepp jackdavenport goddess marriageceremony marriageproposal pirate singapore english usa pg-13
2,Spectre,color sammendes rorykinnear action adventure thriller christophwaltz stephaniesigman bomb espionage sequel spy terrorist english uk pg-13
3,The Dark Knight Rises,color christophernolan christianbale action thriller tomhardy josephgordon-levitt deception imprisonment lawlessness policeofficer terroristplot english usa pg-13
5,John Carter,color andrewstanton samanthamorton action adventure sci-fi darylsabara pollywalker alien americancivilwar malenipple mars princess english usa pg-13
6,Spider-Man 3,color samraimi jamesfranco action adventure romance j.k.simmons kirstendunst sandman spiderman symbiote venom villain english usa pg-13
7,Tangled,color nathangreno donnamurphy adventure animation comedy family fantasy musical romance bradgarrett m.c.gainey 17thcentury basedonfairytale disney flower tower english usa pg
8,Avengers: Age of Ultron,color josswhedon robertdowneyjr. action adventure sci-fi chrishemsworth scarlettjohansson artificialintelligence basedoncomicbook captainamerica marvelcinematicuniverse superhero english usa pg-13
9,Harry Potter and the Half-Blood Prince,color davidyates danielradcliffe adventure family fantasy mystery alanrickman rupertgrint blood book love potion professor english uk pg
10,Batman v Superman: Dawn of Justice,color zacksnyder laurencohan action adventure sci-fi henrycavill aland.purwin basedoncomicbook batman sequeltoareboot superhero superman english usa pg-13
11,Superman Returns,color bryansinger marlonbrando action adventure sci-fi kevinspacey franklangella crystal epic lexluthor loislane returntoearth english usa pg-13
12,Quantum of Solace,color marcforster mathieuamalric action adventure giancarlogiannini rorykinnear actionhero attemptedrape bondgirl officialjamesbondseries revenge english uk pg-13
13,Pirates of the Caribbean: Dead Man's Chest,color goreverbinski orlandobloom action adventure fantasy johnnydepp jackdavenport boxofficehit giantsquid heart liar'sdice monster english usa pg-13
14,The Lone Ranger,color goreverbinski ruthwilson action adventure western johnnydepp tomwilkinson horse outlaw texas texasranger train english usa pg-13
15,Man of Steel,color zacksnyder christophermeloni action adventure fantasy sci-fi henrycavill harrylennix basedoncomicbook britishactorplayingamericancharacter finalbattle originofhero reboot english usa pg-13
16,The Chronicles of Narnia: Prince Caspian,color andrewadamson pierfrancescofavino action adventure family fantasy peterdinklage damiánalcázar brotherbrotherrelationship brothersisterrelationship goodversusevil king narnia english usa pg
17,The Avengers,color josswhedon robertdowneyjr. action adventure sci-fi chrishemsworth scarlettjohansson alieninvasion assassin battle ironman soldier english usa pg-13
18,Pirates of the Caribbean: On Stranger Tides,color robmarshall samclaflin action adventure fantasy johnnydepp stephengraham blackbeard captain pirate revenge soldier english usa pg-13
19,Men in Black 3,color barrysonnenfeld michaelstuhlbarg action adventure comedy family fantasy sci-fi willsmith nicolescherzinger alien criminal m.i.b. maximumsecurityprison prison english usa pg-13
20,The Hobbit: The Battle of the Five Armies,color peterjackson adambrown adventure fantasy aidanturner jamesnesbitt army elf hobbit middleearth orc english newzealand pg-13
21,The Amazing Spider-Man,color marcwebb andrewgarfield action adventure fantasy emmastone chriszylka lizard outcast spider spiderman teenager english usa pg-13
22,Robin Hood,color ridleyscott williamhurt action adventure drama history markaddy scottgrimes 1190s archer england kingofengland robinhood english usa pg-13
23,The Hobbit: The Desolation of Smaug,color peterjackson adambrown adventure fantasy aidanturner jamesnesbitt dwarf elf laketown mountain swordandsorcery english usa pg-13
24,The Golden Compass,color chrisweitz evagreen adventure family fantasy christopherlee kristinscottthomas children epic friend girl quest english usa pg-13
25,King Kong,color peterjackson thomaskretschmann action adventure drama romance naomiwatts evanparke animalnameintitle apeabductsawoman gorilla island kingkong english newzealand pg-13
26,Titanic,color jamescameron katewinslet drama romance leonardodicaprio gloriastuart artist love ship titanic wet english usa pg-13
27,Captain America: Civil War,color anthonyrusso scarlettjohansson action adventure sci-fi robertdowneyjr. chrisevans basedoncomicbook knife marvelcinematicuniverse returningcharacterkilledoff superhero english usa pg-13
28,Battleship,color peterberg alexanderskarsgård action adventure sci-fi thriller liamneeson tadanobuasano boxofficeflop hawaii naval oahuhawaii ship english usa pg-13
29,Jurassic World,color colintrevorrow judygreer action adventure sci-fi thriller brycedallashoward omarsy dinosaur disasterfilm experimentgonewrong jurassicpark velociraptor english usa pg-13
30,Skyfall,color sammendes helenmccrory action adventure thriller albertfinney rorykinnear brawl childhoodhome computercracker intelligenceagency terroristcell english uk pg-13
31,Spider-Man 2,color samraimi jamesfranco action adventure fantasy romance j.k.simmons kirstendunst death doctor scientist supervillain tentacle english usa pg-13
32,Iron Man 3,color shaneblack jonfavreau action adventure sci-fi robertdowneyjr. doncheadle armor explosion humanbomb missileattack terrorist english usa pg-13
33,Alice in Wonderland,color timburton alanrickman adventure family fantasy johnnydepp annehathaway aliceinwonderland mistakingrealityfordream queen shrinking shrinkingpotion english usa pg
